rom_address	function	instruction
0x193C	jump_1918	movx A, @DPTR
0x1940	jump_1918	movx @DPTR, A
0x1948	jump_1945	movx A, @DPTR
0x194A	jump_1945	movx @DPTR, A
0x194F	jump_194C	movx A, @DPTR
0x195A	jump_194C	movx @DPTR, A
0x1966	jump_1960	movx A, @DPTR
0x196B	jump_1960	movx A, @DPTR
0x1972	jump_1960	movx A, @DPTR
0x1975	jump_1960	movx @DPTR, A
0x1985	jump_1960	movx A, @DPTR
0x1989	jump_1960	movx @DPTR, A
0x1991	jump_198E	movx A, @DPTR
0x1993	jump_198E	movx @DPTR, A
0x1998	jump_1995	movx A, @DPTR
0x199D	jump_1995	movx A, @DPTR
0x19A0	jump_1995	movx A, @DPTR
0x19A9	jump_1995	movx @DPTR, A
0x19B0	jump_19AD	movx A, @DPTR
0x19B3	jump_19AD	movx A, @DPTR
0x19B9	jump_19AD	movx A, @DPTR
0x19BD	jump_19AD	movx @DPTR, A
0x19C2	jump_19AD	movx A, @DPTR
0x19C4	jump_19AD	movx @DPTR, A
0x19CB	jump_19C8	movx A, @DPTR
0x19CD	jump_19C8	movx @DPTR, A
0x19D2	jump_19CF	movx A, @DPTR
0x19D7	jump_19CF	movx @DPTR, A
0x19F0	jump_19E4	movx A, @DPTR
0x19F3	jump_19E4	movx @DPTR, A
0x19F9	jump_19E4	movx A, @DPTR
0x19FD	jump_19E4	movx @DPTR, A
0x1A06	jump_1A03	movx A, @DPTR
0x1A08	jump_1A03	movx @DPTR, A
0x1A0D	jump_1A0A	movx A, @DPTR
0x1A18	jump_1A0A	movx @DPTR, A
0x1AA2	jump_1A1C	movx @DPTR, A
0x1AA6	jump_1AA3	movx A, @DPTR
0x1AB2	jump_1AA3	movx A, @DPTR
0x1AB4	jump_1AA3	movx @DPTR, A
0x1AC2	jump_1AB8	movx @DPTR, A
0x1AC6	jump_1AC3	movx A, @DPTR
0x1AD3	jump_1AC3	movx A, @DPTR
0x1AD7	jump_1AC3	movx @DPTR, A
0x1AE0	jump_1ADB	movx @DPTR, A
0x1AE3	jump_1ADB	movx @DPTR, A
0x1AE6	jump_1ADB	movx @DPTR, A
0x1AF8	jump_1AF2	movx @DPTR, A
0x1AFB	jump_1AF2	movx @DPTR, A
0x1AFF	jump_1AFC	movx A, @DPTR
0x1B0A	jump_1B09	movx A, @DPTR
0x1B18	jump_1B09	movx @DPTR, A
0x1B33	jump_1B31	movx @DPTR, A
0x1B4B	jump_1B49	movx @DPTR, A
0x1B52	jump_1B4F	movx A, @DPTR
0x1B5D	jump_1B4F	movx A, @DPTR
0x1B6A	jump_1B4F	movx @DPTR, A
0x1B6D	jump_1B4F	movx @DPTR, A
0x1B71	jump_1B4F	movx @DPTR, A
0x1B77	jump_1B4F	movx @DPTR, A
0x1B82	jump_1B4F	movx A, @DPTR
0x1B86	jump_1B4F	movx A, @DPTR
0x1B89	jump_1B4F	movx A, @DPTR
0x1B8E	jump_1B4F	movx A, @DPTR
0x1B98	jump_1B4F	movx @DPTR, A
0x1B9C	jump_1B4F	movx @DPTR, A
0x1BA6	jump_1B4F	movx @DPTR, A
0x1BB1	jump_1B4F	movx @DPTR, A
0x1BCA	jump_1BC1	movx A, @DPTR
0x1BCF	jump_1BC1	movx A, @DPTR
0x1BD3	jump_1BC1	movx A, @DPTR
0x1BD6	jump_1BC1	movx A, @DPTR
0x1BDE	jump_1BC1	movx A, @DPTR
0x1BE2	jump_1BC1	movx A, @DPTR
0x1BEF	jump_1BC1	movx A, @DPTR
0x1BF4	jump_1BC1	movx A, @DPTR
0x1BF9	jump_1BC1	movx A, @DPTR
0x1BFC	jump_1BC1	movx A, @DPTR
0x1C01	jump_1BC1	movx A, @DPTR
0x1C04	jump_1BC1	movx A, @DPTR
0x1C1F	jump_1BC1	movx @DPTR, A
0x1C22	jump_1BC1	movx A, @DPTR
0x1C34	jump_1C31	movx A, @DPTR
0x1C37	jump_1C31	movx A, @DPTR
0x1C3C	jump_1C31	movx A, @DPTR
0x1C3F	jump_1C31	movx A, @DPTR
0x1C42	jump_1C31	movx A, @DPTR
0x1C47	jump_1C31	movx A, @DPTR
0x1C5A	jump_1C31	movx A, @DPTR
0x1C60	jump_1C5D	movx A, @DPTR
0x1C62	jump_1C5D	movx @DPTR, A
0x1C64	jump_1C5D	movx A, @DPTR
0x1C68	jump_1C5D	movx @DPTR, A
0x1C7F	jump_1C6C	movx @DPTR, A
0x1C82	jump_1C6C	movx @DPTR, A
0x1C85	jump_1C6C	movx @DPTR, A
0x1C8A	jump_1C6C	movx @DPTR, A
0x1C92	jump_1C91	movx @DPTR, A
0x1CC2	jump_1CAA	movx @DPTR, A
0x1CCA	jump_1CAA	movx @DPTR, A
0x1CCE	jump_1CAA	movx A, @DPTR
0x1CD5	jump_1CAA	movx A, @DPTR
0x1CD8	jump_1CAA	movx A, @DPTR
0x1CDD	jump_1CAA	movx @DPTR, A
0x1CE2	jump_1CAA	movx @DPTR, A
